building,floor,room,coordinate_1_label,coordinate_1_indicator,coordinate_2_label,coordinate_2_indicator,coordinate_3_label,coordinate_3_indicator,uri
MLK Library,A Level,A-32,Row,B,Section,01,Shelf,a,/locations/2585
MLK Library,A Level,A-32,Row,B,Section,01,Shelf,b,/locations/2586
MLK Library,A Level,A-32,Row,B,Section,01,Shelf,c,/locations/2587
MLK Library,A Level,A-32,Row,B,Section,01,Shelf,d,/locations/2588
MLK Library,A Level,A-32,Row,B,Section,01,Shelf,e,/locations/2589
MLK Library,A Level,A-32,Row,B,Section,01,Shelf,f,/locations/2590
MLK Library,A Level,A-32,Row,B,Section,01,Shelf,g,/locations/2591
MLK Library,A Level,A-32,Row,B,Section,01,Shelf,h,/locations/2592
MLK Library,A Level,A-32,Row,B,Section,02,Shelf,a,/locations/2593
MLK Library,A Level,A-32,Row,B,Section,02,Shelf,b,/locations/2594
MLK Library,A Level,A-32,Row,B,Section,02,Shelf,c,/locations/2595
MLK Library,A Level,A-32,Row,B,Section,02,Shelf,d,/locations/2596
MLK Library,A Level,A-32,Row,B,Section,02,Shelf,e,/locations/2597
MLK Library,A Level,A-32,Row,B,Section,02,Shelf,f,/locations/2598
MLK Library,A Level,A-32,Row,B,Section,02,Shelf,g,/locations/2599
MLK Library,A Level,A-32,Row,B,Section,02,Shelf,h,/locations/2600
MLK Library,A Level,A-32,Row,B,Section,03,Shelf,a,/locations/2601
MLK Library,A Level,A-32,Row,B,Section,03,Shelf,b,/locations/2602
MLK Library,A Level,A-32,Row,B,Section,03,Shelf,c,/locations/2603
MLK Library,A Level,A-32,Row,B,Section,03,Shelf,d,/locations/2604
MLK Library,A Level,A-32,Row,B,Section,03,Shelf,e,/locations/2605
MLK Library,A Level,A-32,Row,B,Section,03,Shelf,f,/locations/2606
MLK Library,A Level,A-32,Row,B,Section,03,Shelf,g,/locations/2607
MLK Library,A Level,A-32,Row,B,Section,03,Shelf,h,/locations/2608
MLK Library,A Level,A-32,Row,B,Section,04,Shelf,a,/locations/2609
MLK Library,A Level,A-32,Row,B,Section,04,Shelf,b,/locations/2610
